Date,Time,Stretcher Pts hrly,Stretcher Pts cum,Ambulatory Pts hrly,Ambulatory Pts cum,Total Inflow hrly,Total Inflow cum,Ambulances hrly,Ambulances cum,FLS hrly,Adm. requests cum,Admissions cum,Pts.waiting for admission CUM,Total Stretcher pts,Triage hallway pts,Triage hallway pts TBS,Re-Oriented Nurse cum,Re-Oriented MD QTrack D/C,Re-Oriented MD QTrack NotD/C,Resus Pts,Totalpts in PODs except Psych,Green Pts,Green Pts TBS,Yellow PTS,Yellow Pts TBS,Orancge Pts except psych,Orange Pts TBS,Consults > 2h in PODS except IM,Consult for IM >4h in PODS,Plain films reqs > 2 h in PODs,CTs reqs > 2 h in PODs,Post POD (Family room),Stretcher Pts in Vertical,Stretcher Pts TBS in Vertical,Stretcher Pts in Vertical on Lazyboy,Vertical Pts Waiting for Results,Ambulatory Pts in Vertical,Ambulatory Pts TBS in Vertical,QTrack Patients TBS,GARAGE patient TBS,Consults > 2h in Vertical Except IM,Consult for IM >4h in Vertical,Plain films reqs > 2 hr in Vertical,CTs reqs > 2 hrs in Vertical,Psych Stretcher Pts1pt,Psych pts waiting for admission
01/01/22,4,1,6,2,7,3,13,0,4,0,3,1,12,45,0,0,0,0,0,4,35,12,0,14,0,9,0,10,1,2,2,0,3,0,1,1,1,1,0.0,1.0,0,0,0,2,3,3
01/01/22,5,3,9,0,7,3,16,1,5,0,3,1,12,42,0,0,0,0,0,3,34,11,0,12,0,11,0,16,0,0,1,0,2,0,1,0,2,1,0.0,2.0,0,0,4,2,3,3
01/01/22,6,0,9,1,8,1,17,1,6,0,3,1,12,44,0,0,0,0,0,3,36,11,0,12,0,13,0,17,1,0,1,0,2,0,1,0,3,1,0.0,0.0,0,0,3,3,3,3
01/01/22,7,1,10,0,8,1,18,0,6,0,3,1,12,40,0,0,0,0,0,3,32,9,0,12,0,11,0,16,1,0,1,0,2,0,1,0,3,2,0.0,0.0,0,0,3,1,3,3
01/01/22,8,2,12,3,11,5,23,1,7,1,3,3,10,43,0,0,1,0,0,3,31,10,1,11,0,10,0,18,1,0,3,0,6,1,3,0,3,3,0.0,0.0,0,0,3,1,3,3
01/01/22,9,2,14,2,13,4,27,0,7,0,5,3,12,42,0,0,1,0,0,4,33,11,1,12,0,10,0,17,1,0,4,0,2,0,1,1,1,0,0.0,0.0,1,0,1,0,3,3
01/01/22,10,3,17,6,19,9,36,1,8,0,5,4,11,40,0,0,1,0,0,4,32,10,0,11,1,11,0,16,1,0,2,0,1,0,1,1,2,0,0.0,2.0,2,0,1,0,3,3
01/01/22,11,5,22,6,25,11,47,4,12,1,7,5,12,42,0,0,1,0,0,2,34,11,0,7,1,16,1,15,1,0,2,0,3,0,3,1,3,1,0.0,3.0,2,0,1,0,3,3
01/01/22,12,5,27,2,27,7,54,3,15,0,10,7,12,44,0,0,1,0,0,3,35,11,1,7,1,17,0,7,2,1,6,0,4,1,2,0,4,2,0.0,1.0,3,0,1,0,2,2
01/01/22,13,9,36,5,32,14,68,3,18,2,14,7,16,47,0,0,1,0,0,5,36,14,2,8,1,14,0,5,1,1,6,0,3,0,2,0,5,2,0.0,3.0,2,0,1,0,3,2
01/01/22,14,8,44,5,37,13,81,3,21,0,16,7,18,56,0,0,1,0,1,5,40,15,0,10,5,15,1,4,1,1,6,0,7,0,4,2,5,3,0.0,5.0,2,0,1,0,4,2
01/01/22,15,5,49,5,42,10,91,2,23,1,17,10,13,60,1,1,1,0,0,3,47,15,0,15,4,17,1,5,1,2,6,0,7,0,5,1,5,3,0.0,4.0,1,0,0,0,2,0
01/01/22,16,8,57,2,44,10,101,1,24,0,19,12,12,60,1,1,1,0,0,3,46,14,1,15,2,17,1,7,2,1,7,0,6,0,5,0,7,6,0.0,5.0,0,0,0,2,4,0
01/01/22,17,5,62,3,47,8,109,0,24,1,20,15,10,58,1,1,1,0,0,3,45,14,1,16,1,15,0,2,1,2,5,0,5,0,4,1,8,2,0.0,8.0,0,0,0,1,4,2
01/01/22,18,7,69,3,50,10,119,3,27,1,22,16,12,61,2,2,1,0,0,3,41,15,0,13,1,13,2,2,1,2,4,0,10,1,5,5,3,1,0.0,4.0,0,0,0,0,5,2
01/01/22,19,5,74,5,55,10,129,3,30,1,24,17,12,59,2,2,2,0,0,3,42,15,0,15,4,12,0,3,1,4,9,0,7,0,5,3,6,2,0.0,5.0,0,0,0,0,5,2
01/01/22,20,3,77,6,61,9,138,2,32,1,27,17,14,64,0,0,2,0,0,4,42,14,0,14,2,14,0,6,3,5,11,0,12,0,5,4,6,5,0.0,5.0,1,0,1,0,6,3
01/01/22,21,6,83,6,67,12,150,1,33,0,27,18,12,61,0,0,2,0,0,5,40,15,0,12,2,13,1,5,5,5,12,0,12,1,4,3,10,9,0.0,6.0,1,0,1,0,4,3
01/01/22,22,3,86,3,70,6,156,0,33,0,28,18,13,61,0,0,2,0,0,4,41,14,1,14,2,13,0,6,4,7,11,0,12,1,5,4,10,7,0.0,2.0,2,0,1,0,4,3
01/01/22,23,2,88,0,70,2,158,1,34,0,30,19,14,60,0,0,2,0,0,4,41,16,2,11,2,14,0,5,3,6,7,0,12,0,6,6,5,1,0.0,1.0,2,0,1,0,3,3
01/01/22,1,1,1,3,3,4,4,2,2,0,2,1,11,44,0,0,0,0,0,3,36,15,1,11,0,10,1,5,1,2,3,0,2,0,2,0,1,1,0.0,3.0,0,0,0,2,3,3
01/01/22,24,3,91,0,70,3,161,0,34,0,32,24,11,58,0,0,2,0,0,3,39,15,1,11,1,13,0,5,4,6,7,0,13,1,7,8,2,1,0.0,1.0,2,0,2,0,3,2
01/02/20,1,6,6,2,2,8,8,1,1,0,1,0,26,63,0,0,0,0,2,2,40,13,0,14,0,13,0,11,0,1,2,0,10,4,4,4,6,6,,,1,0,1,0,11,7
01/02/20,3,4,14,0,4,4,18,0,3,0,2,2,25,66,0,0,0,0,2,2,40,15,1,12,0,13,0,14,0,1,1,0,13,7,4,6,3,3,,,1,0,0,0,11,7
01/02/20,22,10,162,4,156,14,318,3,46,0,31,23,24,90,0,0,31,22,13,2,53,19,4,17,0,17,1,9,2,6,2,1,31,13,7,14,7,4,,,3,0,0,1,3,2
01/02/20,21,9,152,5,152,14,304,3,43,0,30,23,23,88,0,0,31,20,11,3,50,17,2,18,1,15,0,6,1,5,1,4,28,7,7,13,15,13,,,3,0,0,1,3,2
01/02/20,20,10,143,5,147,15,290,3,40,1,26,23,19,85,0,0,31,19,11,3,46,14,2,17,1,15,0,5,0,1,2,5,28,9,9,14,20,16,,,2,0,2,0,3,2
01/02/20,19,3,133,7,142,10,275,2,37,0,25,21,20,93,0,0,30,19,7,2,50,17,3,16,3,17,0,6,0,5,1,5,33,15,7,13,15,13,,,4,0,0,1,3,2
01/02/20,18,11,130,5,135,16,265,4,35,0,20,21,16,97,2,2,29,15,10,3,48,18,4,14,0,16,0,5,0,2,1,6,35,17,5,12,12,10,,,4,1,1,0,3,2
01/02/20,17,9,119,8,130,17,249,3,31,0,17,19,16,100,4,4,28,13,13,3,47,18,3,15,0,14,0,6,0,7,1,7,36,17,6,15,12,11,,,6,1,3,0,3,2
01/02/20,16,7,110,7,122,14,232,3,28,0,16,18,16,100,6,6,27,11,17,3,47,16,4,14,0,17,0,6,0,2,1,8,33,15,9,13,13,12,,,4,1,4,1,3,2
01/02/20,15,13,103,14,115,27,218,4,25,3,14,14,20,97,2,2,22,9,21,4,50,18,3,14,3,18,1,6,0,4,1,7,30,13,9,10,19,13,,,5,0,2,1,4,3
01/02/20,14,9,90,13,101,22,191,3,21,2,14,10,25,94,2,2,18,7,19,3,47,17,2,15,1,15,3,5,0,2,1,5,31,12,9,13,20,15,,,4,0,1,0,6,4
01/02/20,13,11,81,5,88,16,169,4,18,1,12,7,25,87,2,2,15,5,18,2,44,16,2,15,2,13,0,5,0,2,1,4,29,12,9,12,18,15,,,4,0,0,0,6,4
01/02/20,12,12,70,13,83,25,153,0,14,1,11,6,24,84,2,2,12,3,19,2,51,17,1,17,6,17,1,8,0,2,1,0,23,11,7,10,22,21,,,2,0,0,0,6,4
01/02/20,11,16,58,17,70,33,128,5,14,4,9,4,26,75,0,0,10,1,17,3,48,16,3,15,4,17,2,8,0,2,1,0,18,7,3,14,23,21,,,1,0,0,0,6,5
01/02/20,10,4,42,20,53,24,95,0,9,0,7,4,26,71,0,0,8,0,9,3,43,15,0,14,2,14,1,10,1,2,1,0,16,4,6,9,22,18,,,2,0,0,0,9,6
01/02/20,9,9,38,13,33,22,71,2,9,1,5,3,27,72,0,0,6,0,3,2,43,15,1,13,1,15,1,10,1,1,2,0,16,4,6,9,11,9,,,2,0,0,0,11,7
01/02/20,8,7,29,6,20,13,49,1,7,1,4,4,26,63,0,0,4,0,0,2,40,14,0,12,1,14,0,11,1,1,2,0,10,1,7,4,13,13,,,2,0,0,0,11,7
01/02/20,7,1,22,5,14,6,36,0,6,0,3,3,25,66,0,0,1,0,0,2,38,14,0,10,0,14,0,11,1,1,1,0,15,1,7,11,5,5,,,2,0,0,0,11,7
